name,uri,artist,mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration
"Dreams Are Alright, I Guess",25Kyv3ljKdvU5pqSREXt6z,Lofi Fruits Music,calm,0.678,0.755,0.422,0.854,0.109,-11.775,0.0333,119.995,0.565,0 days 00:01:57.043000
Wonder,1VRCVrYfhdrfQtnJAgzI32,softy,calm,0.949,0.498,0.478,0.371,0.286,-10.629,0.0441,84.385,0.24,0 days 00:03:33.353000
Wonder,1VRCVrYfhdrfQtnJAgzI32,softy,calm,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,0.132,0 days 00:02:52.693000
show me the way,5A7Pp8vHPngJGvX0clde3k,mr_slace,calm,0.712,0.544,0.314,0.676,0.239,-15.559,0.394,102.394,0.156,0 days 00:02:35.588000
Aconcagua,2tVHXIMmky5mOeQrolyOUV,Slumberville,calm,0.416,0.82,0.17,0.859,0.0986,-12.969,0.0971,129.993,0.29,0 days 00:01:59.077000
Follow the Light,5DYrui8LydVL0AzSkrUvgG,TABAL,calm,0.822,0.598,0.405,0.643,0.11,-9.96,0.0315,81.01,0.286,0 days 00:02:22.222000
Revolution,3E4dTWnLMaPDLSNj18hscR,ToMC Beatz,calm,0.0986,0.63,0.455,0.864,0.505,-8.672,0.0656,84.977,0.794,0 days 00:03:31.765000
Maple Leaf,0bQ3eenvwUusWM7uB9j1fa,Philanthrope,calm,0.727,0.675,0.0837,0.948,0.12,-14.382,0.0741,170.048,0.339,0 days 00:02:18.353000
Medicinal Sushi,3mbwQJDnCQxyclWLlj47FG,Chris Mazuera,calm,0.764,0.649,0.165,0.914,0.11,-16.808,0.0355,80.05,0.36,0 days 00:02:24
Golden Hours,6pFCWGvher1KJdEEsj55dn,Justnormal,calm,0.926,0.53,0.175,0.114,0.103,-7.119,0.16,171.1,0.161,0 days 00:02:28.302000
Now and Then,5YBP3Y8jFqwE7JJNXQFVo1,Tom Doolie,calm,0.698,0.642,0.143,0.608,0.288,-10.596,0.308,176.076,0.652,0 days 00:01:54.562000
Orange Juice,7clKjH2QghB3SmNPi5GuXC,Sense,calm,0.896,0.813,0.479,0.926,0.139,-11.741,0.361,145.179,0.568,0 days 00:02:41.444000
Happy Friday,5OUWqKG6jXUQXyhjGaZYGD,Carl Down,calm,0.422,0.767,0.172,0.158,0.0845,-18.683,0.0667,135.884,0.285,0 days 00:01:56.471000
Fireplace,6anXmwNsau00G1wbS5XIyO,iamalex,calm,0.171,0.873,0.637,0.00047,0.0758,-6.656,0.303,88.983,0.705,0 days 00:02:17.528000
Mindfulness,06BYSLMHmOMOr1knt53RZv,Tohaj,calm,0.74,0.638,0.38,0.797,0.0984,-9.16,0.0405,79.209,0.311,0 days 00:02:49.625000
Somewhere New,4ruExpSbEiBnBa6uowGv3M,Kid Kio,calm,0.762,0.494,0.254,0.865,0.0884,-13.709,0.0351,156.001,0.147,0 days 00:02:03.077000
Drag Me Down - Instrumental,2U5PWftVMHfPwCxQwOQzPl,Kartoffel Club,calm,0.506,0.679,0.412,0.83,0.111,-11.551,0.043,142.034,0.0859,0 days 00:02:54.111000
Trees,56ma5MvBbtjzxZsuLMYJID,Honshu Lo fi,calm,0.641,0.632,0.38,0.918,0.342,-6.986,0.0334,83.054,0.362,0 days 00:01:55.663000
Taonica,7z66nL3YErRDjn3ooQd7kM,Ymori,calm,0.289,0.871,0.491,0.929,0.268,-10.745,0.0552,103.979,0.729,0 days 00:02:27.905000
Tired,7rDkeTEQYR6WbV7VFDdqH9,softy,calm,0.98,0.612,0.23,0.915,0.156,-12.187,0.0314,83.978,0.0632,0 days 00:03:51.429000
Tired,7rDkeTEQYR6WbV7VFDdqH9,softy,calm,0.0428,0.69,0.876,0.0,0.147,-4.159,0.059,123.994,0.493,0 days 00:03:12.112000
Café,0nEPia8hOu2kZWOFEvFVAD,sky pedro,calm,0.203,0.829,0.197,0.746,0.0994,-13.804,0.154,90.997,0.32,0 days 00:01:53.407000
the village,3sHl6w5wL2D2XxQdAWiz5i,really big mountains,calm,0.942,0.609,0.258,0.332,0.126,-11.357,0.0464,80.018,0.0795,0 days 00:02:03.750000
Ayanapas Parabola,3ZuPTVSUn58viMEafhZasm,Orientale Pesetas,calm,0.82,0.849,0.189,0.839,0.173,-15.103,0.067,85.044,0.377,0 days 00:01:43.059000
Top Floor,0kkPb1GxoOzsP2sNJ84284,Moody Bit,calm,0.855,0.669,0.368,0.586,0.119,-15.863,0.0357,89.977,0.282,0 days 00:01:46.667000
Lost in Flight,2qyJG4XyYLCMl3qIWL30ET,SwuM,calm,0.909,0.685,0.295,0.915,0.179,-12.472,0.0284,103.98,0.0877,0 days 00:02:50.769000
Lucy,094DrAu8CNYdXuV2w3DruD,Otis Neon,calm,0.0694,0.636,0.373,0.87,0.122,-8.295,0.0623,86.995,0.319,0 days 00:02:10.200000
Smokey,4p14eOpDYsh7lxZCNDFeF6,Crate Diggers,calm,0.684,0.767,0.224,0.929,0.109,-11.05,0.0528,128.048,0.947,0 days 00:01:30
Window Camping,5WexdSeiaYKjHkPy1lcos9,ROOM7,calm,0.488,0.716,0.474,0.458,0.117,-10.607,0.131,159.993,0.706,0 days 00:02:03
Next Chapter,2aVeFGCCFGtAC267nbqg3H,Lofi Fruits Music,calm,0.911,0.624,0.485,0.858,0.125,-11.829,0.0321,130.014,0.114,0 days 00:02:09.059000
distance,3gnuPcRwJl5nMrCaOzgu5z,Rook1e,calm,0.926,0.359,0.36,0.917,0.152,-11.751,0.0903,78.18,0.0725,0 days 00:01:21.596000
Hope,00PeFMEYbTy8WpcVguwdoF,yuhei miura,calm,0.906,0.629,0.437,0.634,0.127,-7.825,0.0452,84.015,0.206,0 days 00:01:59.286000
Shh,2MP2pU9BEFas5fZqslCjbS,Rajstar,calm,0.217,0.629,0.379,0.875,0.109,-15.653,0.262,194.399,0.112,0 days 00:01:39.033000
Wish We Could Stay Like This Forever,0f0EDZUFDo8f27Dg4SmCWk,ocha,calm,0.741,0.658,0.335,0.872,0.133,-14.835,0.218,79.895,0.466,0 days 00:02:48
Peaks,0PwKjuG8Tf5NhbeT7BKzY0,Lunchmoney,calm,0.678,0.639,0.278,0.915,0.0995,-12.84,0.0388,82.009,0.117,0 days 00:02:32.195000
Miffing,482V3gj1s0CmyxggOk4OLh,_tag,calm,0.938,0.705,0.221,0.906,0.111,-11.474,0.0837,84.962,0.384,0 days 00:02:23.131000
Everything I Want,68qbDkaOXGQ2lZWmwrTsfv,Outdream,calm,0.794,0.735,0.392,0.9,0.0928,-10.111,0.0843,80.021,0.19,0 days 00:02:27.938000
Solitude,4x92V3mO9ujs6KwBdC2OKp,Knowmadic,calm,0.384,0.299,0.616,0.0,0.393,-9.502,0.0834,136.741,0.35,0 days 00:02:29.130000
Purple Skies,2foRZpSWipdqRtuwube6A5,Otis Neon,calm,0.00524,0.576,0.595,0.000257,0.305,-6.279,0.186,81.941,0.298,0 days 00:02:14.634000
Things Will Get Better... Eventually,7JalT8zThm2pjTqpKMn661,Lo-Fi Eamonn,calm,0.556,0.813,0.33,0.892,0.891,-17.439,0.211,79.997,0.466,0 days 00:02:12.750000
Byrds,4j4XQzNbPRXTNi3CJdsT5g,DAO,calm,0.149,0.634,0.67,0.883,0.111,-9.033,0.0669,176.114,0.29,0 days 00:02:00
Sleepless,35B4ntwoU7kCxdgWlzuOuE,Luigi Valentino,calm,0.936,0.43,0.127,0.918,0.111,-24.218,0.0381,89.961,0.0484,0 days 00:01:46.667000
Dusk,0Qpz1xMQHPosxi02PjkWV6,n o r m a l,calm,0.236,0.737,0.301,0.894,0.124,-10.633,0.108,81.998,0.511,0 days 00:02:09.010000
Rainy Mornings,2JuHQkoJjkfVOpfKXs9ItL,Hyperparadise,calm,0.967,0.552,0.08,0.952,0.0903,-24.269,0.0789,82.759,0.185,0 days 00:03:00.738000
Yawn Machine,3wXAeVIUbRF9pReSBdgpkE,Guustavv,calm,0.691,0.66,0.249,0.779,0.117,-15.655,0.0438,107.977,0.036,0 days 00:02:12.958000
snow food,57OFW9UqdEX5YM7Zq5XoKB,Wun Two,calm,0.412,0.708,0.32,0.389,0.145,-17.256,0.037,72.055,0.621,0 days 00:01:40.833000
Flora,7vvN6jTHNBtkqLol6IEM94,Elijah Who,calm,0.188,0.192,0.477,0.454,0.102,-9.364,0.048,81.099,0.0581,0 days 00:02:15.091000
Blue Book,6bwj5YpF2nZoqv5wwAFnNl,Tom Doolie,calm,0.842,0.621,0.283,0.904,0.106,-11.675,0.0657,79.023,0.47,0 days 00:02:27.938000
Daffodils,660obXPnMHkpoZk0Z7a0Lh,Musqitone,calm,0.839,0.707,0.33,0.955,0.114,-12.614,0.384,89.866,0.864,0 days 00:01:37.354000
If I Wrote You,0pVwoyQqtyF0GWyaMeYy6q,Import Export,calm,0.44,0.599,0.38,0.901,0.111,-7.541,0.134,93.855,0.149,0 days 00:02:13.723000
Warm Blanket,7MUEtCCUwlSCYDdwWEXhva,Mujo,calm,0.937,0.665,0.373,0.918,0.111,-8.363,0.38,79.478,0.689,0 days 00:01:43.457000
Sweetest Thing,5hhqdODgbAyQtnvTyr3hip,Funky Notes,calm,0.153,0.602,0.26,0.252,0.104,-11.098,0.166,178.054,0.631,0 days 00:02:46
